SIZE_TIER,bank_count,avg_hist_score,avg_curr_score,median_hist_score,p75_hist_score,p90_hist_score,deeply_stressed,pct_deeply_stressed,pct_above_cre_threshold,avg_leverage,avg_roa,avg_texas
Community,3262,49.99423577081855,49.994309220483444,49.836956036270664,59.35941854455434,67.23282598844868,104,3.2,15.9,0.1232143614194131,0.01034119063088825,0.057922257181219856
Large,31,50.0,50.00000000000001,53.17653790344399,57.770067248541835,60.29246165842085,0,0.0,0.0,0.09210775448631842,0.012153880856597184,0.053616602676825914
Large Regional,122,49.434889587363,49.647066793117475,51.45158496126067,60.92319173309725,66.09205375193147,3,2.5,20.5,0.09982305177377941,0.010731841293278558,0.06949995373851689
Mid-Size,888,49.901198647425296,49.931892856780124,50.117021450479896,58.706743522891514,66.22891124915174,20,2.3,34.1,0.1094807589463702,0.011364808227185972,0.05921366207744043
